Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status
218CEC711F1757FE04A78ACFC8CCE94630BAA52E_1508329009000,10/18/2017 05:16:00 PM +0000,Traffic Hazard,"(30.335718,-97.756033)",30.335718,-97.756033,0 Northland To Mopac Sb Ramp,ARCHIVED
23C48E1AA4867FD335AC3497FA1061DE28CC7819_1508312401000,10/18/2017 12:40:00 PM +0000,Crash Service,"(30.173174,-97.670556)",30.173174,-97.670556,Burleson Rd & Emma Browning Ave,ARCHIVED
28242F1D302696F577218BB85FBAAFECA44761A7_1508296273000,10/18/2017 08:11:00 AM +0000,Traffic Impediment,"(30.286035,-97.708016)",30.286035,-97.708016,Banton Rd & Manor Rd,ARCHIVED
2C7EF0922DDD74809CA7CF4FE2F7A8A5E86F6BFA_1508310938000,10/18/2017 12:15:00 PM +0000,Traffic Hazard,"(30.315994,-97.707815)",30.315994,-97.707815,E 290 Wb To Ih 35 Sb Ramp & N Ih 35 Sb,ARCHIVED
2F25DF3260BA7F6F5DC9556417C6FCE5FCA5C90B_1508320814000,10/18/2017 03:00:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.457232,-97.666753)",30.457232,-97.666753,16000-blk N Ih 35 Sb,ARCHIVED
311FD155BAFBC7FD0A5DB010F80D9090F1E689DE_1508330643000,10/18/2017 05:44:00 PM +0000,Traffic Hazard,"(30.287305,-97.762739)",30.287305,-97.762739,1200-1651 N MOPAC EXPY NB,ARCHIVED
3259CB20A537C3539F365141FA16B8651163F575_1508313132000,10/18/2017 12:52:00 PM +0000,zSTALLED VEHICLE,"(30.240063,-97.737311)",30.240063,-97.737311,1800 S Ih 35 Nb,ARCHIVED
349C0309807F676DFB15970416DECBA5128E7FED_1508315166000,10/18/2017 01:26:00 PM +0000,COLLISION WITH INJURY,"(30.386399,-97.579158)",30.386399,-97.579158,13600-14124 N Sh 130 Sb,ARCHIVED
36E7ECFE17F4820835ACFADF14E0A7689A9974B1_1508313081000,10/18/2017 12:51:00 PM +0000,Crash Urgent,"(30.362706,-97.704478)",30.362706,-97.704478,9010 Collinfield Dr,ARCHIVED
3B987A82043F7DF95B5784095B5CE3BB870DC709_1508326504000,10/18/2017 04:35:00 PM +0000,Crash Urgent,"(30.334124,-97.703111)",30.334124,-97.703111,7300 N Ih 35 Nb,ARCHIVED
4375A23DFC4B20CB97C25EBE3B52488C61293AC2_1508329936000,10/18/2017 05:32:00 PM +0000,COLLISION,"(30.430895,-97.684754)",30.430895,-97.684754,W HOWARD LN & AVENUE N,ARCHIVED
49DD744FF126341803FBB56A028DC0177C24F979_1508318106000,10/18/2017 02:15:00 PM +0000,Traffic Hazard,"(30.189086,-97.767282)",30.189086,-97.767282,1700-1944 E William Cannon Dr,ARCHIVED
5071465A43CAC422CBF59350A6D40CC0635E266C_1508326052000,10/18/2017 04:27:00 PM +0000,Traffic Hazard,"(30.306805,-97.711942)",30.306805,-97.711942,4800 N Ih 35 Nb,ARCHIVED
50D6C3C9E4B3DD713FB1ADF7871F510727A64004_1508318020000,10/18/2017 02:13:00 PM +0000,Traffic Hazard,"(30.185655,-97.812974)",30.185655,-97.812974,1700-1930 W Dittmar Rd,ARCHIVED
53B43ADA41A9083EFA9B04AD10970C2B494633F1_1508313375000,10/18/2017 12:56:00 PM +0000,Traffic Impediment,"(30.171646,-97.722126)",30.171646,-97.722126,6501-6505 MC KINNEY FALLS PKWY,ARCHIVED
560435953B9808841DF0571AC6680B33A1067449_1508315812000,10/18/2017 01:36:00 PM +0000,COLLISN/ LVNG SCN,"(30.307980,-97.638149)",30.30798,-97.638149,6814 POINT NORTH DR,ARCHIVED
5DB0872F19AA1AE3D1CEFA62AE9877879C085253_1508306984000,10/18/2017 11:09:00 AM +0000,COLLISION WITH INJURY,"(30.316418,-97.949688)",30.316418,-97.949688,S Fm 620 Rd & Bee Cave Pkwy,ARCHIVED
5DBADC80815BB1554E48667C816D8628F6B80541_1508328991000,10/18/2017 05:16:00 PM +0000,Traffic Hazard,"(30.338110,-97.700357)",30.33811,-97.700357,0 N Ih 35 Nb To Anderson Wb Ramp,ARCHIVED
6437F91F5E87CBE8B6B50F91A1BAEF5DD0341C48_1508321455000,10/18/2017 03:10:00 PM +0000,Traffic Hazard,"(30.264195,-97.721353)",30.264195,-97.721353,900 Chicon St,ARCHIVED
647E959A40EE60F43EE78C3ABBF01102E4600651_1508307666000,10/18/2017 11:21:00 AM +0000,Traffic Hazard,"(30.400644,-97.729181)",30.400644,-97.729181,11200-11211 N Mopac Expy Svrd Nb,ARCHIVED
650E55707565BB81BA2BF3DC785FD79AD62A225B_1508325444000,10/18/2017 04:17:00 PM +0000,COLLISION WITH INJURY,"(30.186348,-97.609481)",30.186348,-97.609481,Ross Rd & E Sh 71 Wb,ARCHIVED
65AEA98C57DCD2A1FFB0D35CA20603CAAF7D9F03_1508318633000,10/18/2017 02:23:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.296653,-97.834672)",30.296653,-97.834672,Fm 2244 Rd & Knollwood Dr,ARCHIVED
6639A80483FE6E8AB03511DDBCCCAAB4A18BAD32_1508328659000,10/18/2017 05:10:00 PM +0000,Traffic Impediment,"(30.269902,-97.718048)",30.269902,-97.718048,1150-1161 POQUITO ST,ARCHIVED
6B50CE41B5C59434A9AC16FC818EA5507009C7E5_1508316728000,10/18/2017 01:52:00 PM +0000,Crash Service,"(30.241939,-97.728305)",30.241939,-97.728305,1920 E Riverside Dr,ARCHIVED
6C53D5A4945EC20E85EEE6BA10FA711C8606EBD0_1508316070000,10/18/2017 01:41:00 PM +0000,Traffic Impediment,"(30.179784,-97.727151)",30.179784,-97.727151,5808 Mc Kinney Falls Pkwy,ARCHIVED
72448B7792D7AA9BAE361029D06BB23AD7803155_1508313689000,10/18/2017 01:01:00 PM +0000,Crash Urgent,"(30.357461,-97.686658)",30.357461,-97.686658,825 E Rundberg Ln,ARCHIVED
74651A0D02E97130ABB18882EBB61B9FE5884603_1508326011000,10/18/2017 04:26:00 PM +0000,COLLISION WITH INJURY,"(30.445246,-97.651347)",30.445246,-97.651347,15608 Spring Hill Ln,ARCHIVED
75B3E756613A8A376F404661214D152F275A2BF0_1508332116000,10/18/2017 06:08:00 PM +0000,Crash Urgent,"(30.217811,-97.767110)",30.217811,-97.76711,4356-4375 S Congress Ave,ARCHIVED
79E4F4B56385D8DBE97A23480CD8F614F328A74C_1508320247000,10/18/2017 02:50:00 PM +0000,Traffic Hazard,"(30.380506,-97.737880)",30.380506,-97.73788,0 Mopac Sb To Research Sb Ramp,ARCHIVED
7A1B52FD835B0BEBB79168905903AD903FDA01BF_1508330546000,10/18/2017 05:42:00 PM +0000,Traffic Hazard,"(30.234259,-97.722695)",30.234259,-97.722695,1950-1968 S Pleasant Valley Rd,ARCHIVED
7BE4A37569ABA5022A12DDD53230AEDBFCC6AA42_1508318633000,10/18/2017 02:23:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.296653,-97.834672)",30.296653,-97.834672,Fm 2244 Rd & Knollwood Dr,ARCHIVED
7EC095E7D78531BA4A92CC1F465804BBFB0472C8_1508315370000,10/18/2017 01:29:00 PM +0000,Traffic Hazard,"(30.210959,-97.749002)",30.210959,-97.749002,E St Elmo Rd & Freidrich Ln,ARCHIVED
803416F0D1FBCD8344B24B42E4CADBE33C1F6AD9_1508317009000,10/18/2017 01:56:00 PM +0000,Crash Service,"(30.226658,-97.768757)",30.226658,-97.768757,500 W Ben White Blvd Svrd Wb,ARCHIVED
87EF20E9B6F0828BCA0D3AA19C3BD11C5A1746C8_1508300568000,10/18/2017 09:22:00 AM +0000,Traffic Hazard,"(30.256879,-97.677002)",30.256879,-97.677002,1400-1732 Ed Bluestein Blvd Sb,ARCHIVED
87EF20E9B6F0828BCA0D3AA19C3BD11C5A1746C8_1508323409000,10/18/2017 03:43:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.449413,-97.696026)",30.449413,-97.696026,14600-15013 N MOPAC EXPY NB,ARCHIVED
87FC57A9E4B4B7CFED49FDE83E1B3D5138966A4F_1508313642000,10/18/2017 01:00:00 PM +0000,zSTALLED VEHICLE,"(30.290940,-97.721932)",30.29094,-97.721932,3300 N Ih 35 Upper Deck Nb,ARCHIVED
891B52A004F9FE7E730763DCCAE9683A4EFD4754_1508302346000,10/18/2017 09:52:00 AM +0000,COLLISION,"(30.313250,-97.563778)",30.31325,-97.563778,10500-blk N Fm 973 Rd,ARCHIVED
8A2A193948DF988A8B881A75CC050C55ABD1A1DE_1508313322000,10/18/2017 12:55:00 PM +0000,Crash Urgent,"(30.494152,-97.791493)",30.494152,-97.791493,Avery Ranch Blvd & Staked Plains Dr,ARCHIVED
8D507A70979AEFB79DB859B2D8CDEA86C19EE151_1508310735000,10/18/2017 12:12:00 PM +0000,zSTALLED VEHICLE,"(30.299031,-97.661852)",30.299031,-97.661852,6000 Ed Bluestein Blvd Nb,ARCHIVED
8DF5F9BFC9002F191A4EA6FF14D54B2BFE032BEA_1508324775000,10/18/2017 04:06:00 PM +0000,Traffic Hazard,"(30.226880,-97.769241)",30.22688,-97.769241,W Ben White Blvd Svrd Wb & S 1st St,ARCHIVED
8F102B2BE79803391E93A93E7B21A98FEE3F781A_1508314548000,10/18/2017 01:15:00 PM +0000,Crash Service,"(30.167143,-97.787464)",30.167143,-97.787464,110 W SLAUGHTER LN,ARCHIVED
91108D18FCC80F97E015B3E24F56361F312CFF22_1508321196000,10/18/2017 03:06:00 PM +0000,Traffic Hazard,"(30.327646,-97.665623)",30.327646,-97.665623,8100-8225 E Us 290 Hwy Eb,ARCHIVED
9AF463166FE8B26437541D9629EB84E60089A395_1508318133000,10/18/2017 02:15:00 PM +0000,COLLISION,"(30.393278,-97.578762)",30.393278,-97.578762,14200-14525 N Sh 130 Nb,ARCHIVED
9D634E9D726305D5B9A7D2E527F6C49DD3603F4F_1508325760000,10/18/2017 04:22:00 PM +0000,Crash Urgent,"(30.235437,-97.740294)",30.235437,-97.740294,2200 S Ih 35 Sb,ARCHIVED
A0C3CD9E41D288D91A6651CFC2B768DF5E86B175_1508324986000,10/18/2017 04:09:00 PM +0000,Traffic Impediment,"(30.358510,-97.685827)",30.35851,-97.685827,9400-9439 Middle Fiskville Rd,ARCHIVED
A1F9EBB629D421DA846278DBDDDACB353598EBFF_1508320686000,10/18/2017 02:58:00 PM +0000,Traffic Hazard,"(30.498149,-97.775717)",30.498149,-97.775717,W Parmer Ln & Avery Ranch Blvd,ARCHIVED
A7537704A51082E97575A56E9B975D89ED97FBAD_1508332820000,10/18/2017 06:20:00 PM +0000,zSTALLED VEHICLE,"(30.291653,-97.758821)",30.291653,-97.758821,N Mopac Nb To Windsor Ramp & Windsor Rd,ARCHIVED
AC91ED7AFECF7F65F94A1562B1298EC3619C438F_1508315199000,10/18/2017 01:26:00 PM +0000,Traffic Hazard,"(30.234482,-97.740082)",30.234482,-97.740082,2117-2251 S Ih 35 Svrd Nb,ARCHIVED
AD5EFBFC94BA12B4C7A5DD1040E58407E4D5D2E6_1508313192000,10/18/2017 12:53:00 PM +0000,Crash Urgent,"(30.235508,-97.756365)",30.235508,-97.756365,Cumberland Rd & S Congress Ave,ARCHIVED
ADD97DAEFA483805F4A52716BA886AC2D97841B3_1508314701000,10/18/2017 01:18:00 PM +0000,COLLISION,"(30.422898,-97.645297)",30.422898,-97.645297,CHARLES DICKENS DR & HARRIS RIDGE BLVD,ARCHIVED
B4916DB7F02E43309DD837DF807056ADBBA18946_1508315714000,10/18/2017 01:35:00 PM +0000,Traffic Hazard,"(30.369667,-97.705231)",30.369667,-97.705231,9500 - 9508 PARKFIELD DR,ARCHIVED
C03683BF915B1D9B9B2949494BFDA59AC1C5F7A2_1508314866000,10/18/2017 01:21:00 PM +0000,Traffic Hazard,"(30.337759,-97.804782)",30.337759,-97.804782,3700-4018 N CAPITAL OF TEXAS HWY SB,ARCHIVED
C92F34C01E24476CD2D063505C71FA32574481B1_1508314890000,10/18/2017 01:21:00 PM +0000,Traffic Impediment,"(30.256747,-97.893342)",30.256747,-97.893342,8722-9003 OLD BEE CAVES RD,ARCHIVED
C9DFB3338B461C8662CE7C52F4A28672A75B9FB5_1508305734000,10/18/2017 10:48:00 AM +0000,LOOSE LIVESTOCK,"(30.327404,-97.634779)",30.327404,-97.634779,DAFFAN LN & OLD MANOR RD,ARCHIVED
D584553119A41BDAF5910302B5C7771774ABCD4D_1508313818000,10/18/2017 01:03:00 PM +0000,Traffic Impediment,"(30.431938,-97.767075)",30.431938,-97.767075,Jollyville Rd & Dundee Dr,ARCHIVED
D669FDA82B99AA31FAC1D6A337F32AC4B44A954F_1508321228000,10/18/2017 03:07:00 PM +0000,Traffic Hazard,"(30.381757,-97.697955)",30.381757,-97.697955,10806-10908 Parkfield Dr,ARCHIVED
D92055328A6D25F74005C32CB76EE896127F83B4_1508315778000,10/18/2017 01:36:00 PM +0000,Crash Urgent,"(30.368742,-97.742423)",30.368742,-97.742423,8200 N MOPAC EXPY SB,ARCHIVED
DB45CA749FC6FA5B75100CC6FA6BE03DE4B34A48_1508313179000,10/18/2017 12:52:00 PM +0000,Crash Urgent,"(30.367003,-97.700629)",30.367003,-97.700629,Rutland Dr & Mearns Meadow Blvd,ARCHIVED
DC4DD44D3465997A4A04FD070DF0BF24B75F9CFF_1508313745000,10/18/2017 01:02:00 PM +0000,COLLISION WITH INJURY,"(30.454084,-97.666277)",30.454084,-97.666277,15700 N IH 35 SB,ARCHIVED
DD4478F128D0B98D0B5E8AA21A2B463332341465_1508327585000,10/18/2017 04:53:00 PM +0000,Traffic Hazard,"(30.220105,-97.758782)",30.220105,-97.758782,500 E Ben White Blvd Eb,ARCHIVED
DD8AA5B88B93A76D2064FDAC2DC1638C61F8C1E1_1508323844000,10/18/2017 03:50:00 PM +0000,Traffic Hazard,"(30.254307,-97.736949)",30.254307,-97.736949,30-38 N Ih 35 Svrd Sb,ARCHIVED
000B6E11CC7D4C971FBF68F3F1E28EDC93443FF3_1507860836000,10/13/2017 07:13:00 AM +0000,Traffic Impediment,"(30.275642,-97.767780)",30.275642,-97.76778,N Mopac Sb To Cesar Ch Eb Ramp & W Cesar Chavez St,ARCHIVED
000B6E11CC7D4C971FBF68F3F1E28EDC93443FF3_1508293423000,10/18/2017 07:23:00 AM +0000,Crash Service,"(30.233752,-97.740365)",30.233752,-97.740365,2241 S Ih 35 Svrd Nb,ARCHIVED
0020BF2046BD4C6F803CBF19940A1A4759C0EDE8,09/28/2017 12:36:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.3376637,-97.5584922)",30.3376637,-97.5584922,S Lexington St & E Brenham St,ARCHIVED
0020BF2046BD4C6F803CBF19940A1A4759C0EDE8_1508139005000,10/16/2017 12:30:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.141991,-97.832953)",30.141991,-97.832953,12120 Manchaca Rd,ARCHIVED
00817818EDF48CDBA2229E617EBA386481A8A7C3,09/30/2017 10:39:00 AM +0000,COLLISION,"(30.2569113,-97.6116119)",30.2569113,-97.6116119,11600-12225 FM 969 RD,ARCHIVED
00817818EDF48CDBA2229E617EBA386481A8A7C3_1507953139000,10/14/2017 08:52:00 AM +0000,COLLISION,"(30.485034,-97.976409)",30.485034,-97.976409,21200-blk FM 1431 RD,ARCHIVED
00AF91033AEFE00A141CF9CFF3BFE5694379B03D,10/09/2017 04:48:00 PM +0000,Traffic Impediment,"(30.3242546,-97.7542368)",30.3242546,-97.7542368,3000-3010 Perry Ln,ARCHIVED
00B4A051351B585E1F29FFCE2B7FF5D29D629966,09/28/2017 01:59:00 AM +0000,Traffic Hazard,"(30.215463,-97.7349646)",30.215463,-97.7349646,4400-4708 E Ben White Blvd Wb,ARCHIVED
00B7858A85FE7328455145A1552E17378E980FE7,10/07/2017 12:22:00 AM +0000,Crash Service,"(30.3631457,-97.6970285)",30.3631457,-97.6970285,W Rundberg Ln & N Lamar Blvd,ARCHIVED
00D77B942E978BCC69980155176DDAD9534B4118,10/04/2017 01:10:00 AM +0000,Crash Service,"(30.2118617,-97.7117034)",30.2118617,-97.7117034,6317 E Ben White Blvd Svrd Eb,ARCHIVED
00DC35710D10349FA58F9D679882587A0D70C16A,09/26/2017 11:12:00 PM +0000,COLLISION WITH INJURY,"(30.3943497,-97.8691306)",30.3943497,-97.8691306,N Fm 620 Rd & Comanche Trl,ARCHIVED
00E263FF6806064C016A643C6587B0D607A6A42D,10/01/2017 08:38:00 PM +0000,Traffic Hazard,"(30.1532196,-97.791965)",30.1532196,-97.791965,10200 S Ih 35 Sb,ARCHIVED
00F36866326DA3B8DDE0D960226DCD6AFB5AF127,09/30/2017 11:18:00 AM +0000,Crash Urgent,"(30.3252061,-97.6720748)",30.3252061,-97.6720748,E Us 290 Hwy Svrd Eb & Ed Bluestein Blvd Svrd Nb,ARCHIVED
00F36866326DA3B8DDE0D960226DCD6AFB5AF127_1507878949000,10/13/2017 12:15:00 PM +0000,Traffic Impediment,"(30.174380,-97.798900)",30.17438,-97.7989,8600-8819 S 1ST ST,ARCHIVED
00FD4B4549A1094AAE926EF62E9DBD3CDCC2E456,10/03/2017 08:31:00 PM +0000,Crash Urgent,"(30.4023614,-97.8548259)",30.4023614,-97.8548259,6900 N Fm 620 Rd,ARCHIVED
00FD4B4549A1094AAE926EF62E9DBD3CDCC2E456_1507994045000,10/14/2017 08:14:00 PM +0000,Traffic Hazard,"(30.212378,-97.711810)",30.212378,-97.71181,5606-6222 E Ben White Blvd Wb,ARCHIVED
0103B8C397F0C92E47D9D803B50740B2C6B015C3,10/01/2017 04:43:00 AM +0000,TRFC HAZD/ DEBRIS,"(30.4383948,-97.8827051)",30.4383948,-97.8827051,14230-14276 FM 2769 RD,ARCHIVED
0103B8C397F0C92E47D9D803B50740B2C6B015C3_1507891313000,10/13/2017 03:41:00 PM +0000,Crash Service,"(30.377284,-97.658729)",30.377284,-97.658729,11800 Dessau Rd,ARCHIVED
0103B8C397F0C92E47D9D803B50740B2C6B015C3_1508153704000,10/16/2017 04:35:00 PM +0000,Traffic Impediment,"(30.215557,-97.698939)",30.215557,-97.698939,7200 E Ben White Blvd Eb,ARCHIVED
0104CF3B45056589309EFFD4D0889E430018B490,10/05/2017 10:14:00 PM +0000,Crash Urgent,"(30.4416986,-97.6689582)",30.4416986,-97.6689582,14834-14940 N IH 35 SVRD SB,ARCHIVED
0104CF3B45056589309EFFD4D0889E430018B490_1507909029000,10/13/2017 08:37:00 PM +0000,Traffic Hazard,"(30.232315,-97.736888)",30.232315,-97.736888,2300 Parker Ln,ARCHIVED
011C945F30CE2CBAFC452F39840F025693339C42,10/10/2017 09:06:00 PM +0000,Crash Service,"(30.3257808,-97.7015295)",30.3257808,-97.7015295,1016 Camino La Costa,ARCHIVED
011C945F30CE2CBAFC452F39840F025693339C42_1507907663000,10/13/2017 08:14:00 PM +0000,Traffic Hazard,"(30.340460,-97.753546)",30.34046,-97.753546,5900-6500 N MOPAC EXPY NB,ARCHIVED
01B201646FBCD5B4D5B54FEB9AB0F9250CE6072A_1507934968000,10/14/2017 03:49:00 AM +0000,zSTALLED VEHICLE,"(30.286226,-97.631192)",30.286226,-97.631192,Hog Eye Rd & Decker Ln,ARCHIVED
01B45189A34F284F41AB07AFBC3531D83C480D90,09/28/2017 03:06:00 PM +0000,Traffic Impediment,"(30.1986937,-97.7644953)",30.1986937,-97.7644953,S Ih 35 Svrd Sb & E Stassney Ln,ARCHIVED
01E3A3BB9CD2511B27D53D2F775104E07AC4F107,09/29/2017 03:42:00 PM +0000,Traffic Hazard,"(30.2656971,-97.782255)",30.2656971,-97.782255,933 S Mopac Expy Nb,ARCHIVED
01EE94B8B3AC84ACBD3A5B852ED4B18846E304CD,09/28/2017 12:53:00 PM +0000,Crash Urgent,"(30.3742279,-97.6784163)",30.3742279,-97.6784163,11000 N Ih 35 Nb,ARCHIVED
01EE94B8B3AC84ACBD3A5B852ED4B18846E304CD_1507879462000,10/13/2017 12:24:00 PM +0000,Crash Service,"(30.323774,-97.727723)",30.323774,-97.727723,5502-5629 N Lamar Blvd,ARCHIVED
0200320AE3BC247E747EF93E3259BC29DDF53392,09/29/2017 09:14:00 PM +0000,Crash Urgent,"(30.2301551,-97.7953175)",30.2301551,-97.7953175,Western Trails Blvd & Frontier Trl,ARCHIVED
0200320AE3BC247E747EF93E3259BC29DDF53392_1508171309000,10/16/2017 09:28:00 PM +0000,Crash Service,"(30.372729,-97.726673)",30.372729,-97.726673,8832-8924 Burnet Rd,ARCHIVED
02177BB470EC8D951EC376A1EDB9D76AC9B82BFE,09/29/2017 06:30:00 PM +0000,Traffic Hazard,"(30.3501159,-97.7969365)",30.3501159,-97.7969365,5200 N Capital Of Texas Hwy Sb,ARCHIVED
02177BB470EC8D951EC376A1EDB9D76AC9B82BFE_1508160497000,10/16/2017 06:28:00 PM +0000,Traffic Impediment,"(30.242596,-97.717457)",30.242596,-97.717457,2205-2525 S Lakeshore Blvd,ARCHIVED
022DD3EB01DE055B6AA3A09AD422629FB128BC26,10/05/2017 10:40:00 PM +0000,COLLISION,"(30.4456087,-97.8320874)",30.4456087,-97.8320874,10617-10911 N FM 620 RD,ARCHIVED
022DD3EB01DE055B6AA3A09AD422629FB128BC26_1507964802000,10/14/2017 12:06:00 PM +0000,Traffic Impediment,"(30.372089,-97.715521)",30.372089,-97.715521,9315 Northgate Blvd,ARCHIVED
022DD3EB01DE055B6AA3A09AD422629FB128BC26_1508057826000,10/15/2017 01:57:00 PM +0000,Traffic Hazard,"(30.334109,-97.755853)",30.334109,-97.755853,N Mopac Expy Sb & Northland To Mopac Sb Ramp,ARCHIVED
024E4EF7F3C1A12DB0B9CD914318C226644C9537,09/29/2017 08:31:00 AM +0000,Crash Service,"(30.3757261,-97.6897954)",30.3757261,-97.6897954,10625 N LAMAR BLVD,ARCHIVED
026163C85E903E67F039F05E9A80218311817CF1,09/28/2017 01:11:00 PM +0000,zSTALLED VEHICLE,"(30.3101624,-97.7113124)",30.3101624,-97.7113124,E 51st St & N Ih 35 Svrd Sb,ARCHIVED
026163C85E903E67F039F05E9A80218311817CF1_1508142722000,10/16/2017 01:32:00 PM +0000,Crash Service,"(30.366927,-97.682932)",30.366927,-97.682932,10206 N Ih 35 Svrd Sb,ARCHIVED
026DB829052E2AC392765A7C1D324DC1E217EA01,10/04/2017 04:22:00 AM +0000,Crash Urgent,"(30.4879587,-97.7713383)",30.4879587,-97.7713383,Lakeline Blvd & W Parmer Ln,ARCHIVED
0284938375FD54F17C4331B8EF9F686BFBDA02C3,09/28/2017 07:19:00 PM +0000,Crash Service,"(30.4132377,-97.6905898)",30.4132377,-97.6905898,W Parmer Ln & Metric Blvd,ARCHIVED
0284938375FD54F17C4331B8EF9F686BFBDA02C3_1507989930000,10/14/2017 07:05:00 PM +0000,Crash Urgent,"(30.197108,-97.787848)",30.197108,-97.787848,W William Cannon Dr & S 1st St,ARCHIVED
02CE1EA5906B8DA6A9BB82F1319CC83C99ED91E9,10/01/2017 03:26:00 PM +0000,Traffic Hazard,"(30.2844577,-97.7181848)",30.2844577,-97.7181848,Chestnut Ave & Manor Rd,ARCHIVED
02CE1EA5906B8DA6A9BB82F1319CC83C99ED91E9_1508195587000,10/17/2017 04:13:00 AM +0000,COLLISN/ LVNG SCN,"(30.452743,-97.696083)",30.452743,-97.696083,14609-14853 N MOPAC TOLL TO N MOPAC NB,ARCHIVED
02EF6A4D5E9B6440EE4513BAF40746CB8E872FE4,10/03/2017 09:14:00 PM +0000,Crash Urgent,"(30.2501242,-97.7396736)",30.2501242,-97.7396736,Alta Vista Ave & E Riverside Dr,ARCHIVED
02EFB6CDABCF363D66DA0FC33416F45873AC7D57,10/09/2017 12:20:00 PM +0000,COLLISION,"(30.4438527,-97.7425268)",30.4438527,-97.7425268,6101-6315 W Parmer Ln,ARCHIVED
02EFB6CDABCF363D66DA0FC33416F45873AC7D57_1508034730000,10/15/2017 07:32:00 AM +0000,COLLISION,"(30.112775,-97.785290)",30.112775,-97.78529,Fm 1327 Rd & Bradshaw Rd,ARCHIVED
