Camera ID,Camera Manufacturer,Turn on Date,ATD Location ID,Primary St Segment ID,Cross St Segment ID,Landmark,Signal Engineer Area,Council District,JURISDICTION,Location Type,Location Name,Primary Street,Cross Street,Modified Date,Primary Street Block,COA Intersection ID,Camera Status,CROSS_ST_AKA,Cross Street Block,PRIMARY_ST_AKA,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address
17,Spectra Enhanced,11/16/2016,LOC16-000485,2010845,2012361,,NORTHWEST,10,,ROADWAY,SPICEWOOD SPRINGS RD / MOPAC EXPY SVRD,SPICEWOOD SPRINGS RD,MOPAC EXPY SVRD,,3501,5156212,TURNED_ON,,7740,,"(30.3612633, -97.7452316)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7452316,30.3612633,,http://162.89.4.145/CCTVImages/CCTV17.jpg
21,Spectra Enhanced,11/16/2016,LOC16-000400,2011406,2011424,,NORTHWEST,7,,ROADWAY,BURNET RD / JUSTIN LN,BURNET RD,JUSTIN LN,,6900,5157450,TURNED_ON,,2301,,"(30.3453846, -97.7375259)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7375259,30.3453846,,http://162.89.4.145/CCTVImages/CCTV21.jpg
22,Spectra Enhanced,11/16/2016,LOC16-000445,2015569,2015570,,CENTRAL,"9,10,7",,ROADWAY,BURNET RD / 45TH ST,BURNET RD,45TH ST,,4500,5156974,TURNED_ON,,1401,,"(30.3154011, -97.7415695)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7415695,30.3154011,,http://162.89.4.145/CCTVImages/CCTV22.jpg
24,Spectra Enhanced,11/16/2016,LOC16-000460,3299704,3300711,,NORTHWEST,7,,ROADWAY,ANDERSON LN / NORTHCROSS DR,ANDERSON LN,NORTHCROSS DR,,2622,5157696,TURNED_ON,,7822,,"(30.3583069, -97.7355347)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7355347,30.3583069,,http://162.89.4.145/CCTVImages/CCTV24.jpg
25,Spectra Enhanced,11/16/2016,LOC16-000845,2015762,2015777,,NORTHEAST,9,,ROADWAY,AIRPORT BLVD / 51ST ST,AIRPORT BLVD,51ST ST,,5100,5160367,TURNED_ON,,806,,"(30.3120689, -97.7153397)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7153397,30.3120689,,http://162.89.4.145/CCTVImages/CCTV25.jpg
30,Sarix,,LOC16-006995,2047062,2018716,SPRING CONDOS - WEST,CENTRAL,9,,ROADWAY,3RD ST / BOWIE ST (SPRING CONDOS - WEST),3RD ST,BOWIE ST,,900,,TURNED_ON,,300,SPRING CONDOS - WEST,"(30.268963, -97.754318)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.754318,30.268963,,http://162.89.4.145/CCTVImages/CCTV30.jpg
33,Sarix,,LOC16-006980,2018714,2018715,OMNI - SOUTHWEST,CENTRAL,9,,ROADWAY,SAN JACINTO BLVD / 7TH ST (OMNI - SOUTHWEST),SAN JACINTO BLVD,7TH ST,,700,,TURNED_ON,,200,,"(30.268688, -97.740692)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.740692,30.268688,,http://162.89.4.145/CCTVImages/CCTV33.jpg
34,Sarix,,LOC16-006975,2018714,2018715,OMNI - SOUTHEAST,CENTRAL,9,,ROADWAY,SAN JACINTO BLVD / 7TH ST (OMNI - SOUTHEAST),SAN JACINTO BLVD,7TH ST,,700,,TURNED_ON,,200,,"(30.268596, -97.740235)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.740235,30.268596,,http://162.89.4.145/CCTVImages/CCTV34.jpg
35,Sarix,,LOC16-006970,2018714,2018715,OMNI - NORTH,CENTRAL,9,,ROADWAY,SAN JACINTO BLVD / 7TH ST (OMNI - NORTH),SAN JACINTO BLVD,7TH ST,,700,,TURNED_ON,,200,,"(30.269174, -97.740043)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.740043,30.269174,,http://162.89.4.145/CCTVImages/CCTV35.jpg
37,Sarix,,LOC16-006965,2037536,2040857,LAMAR / 27TH,CENTRAL,9,,ROADWAY,LAMAR BLVD / SHOAL CREEK BLVD (LAMAR / 27TH),LAMAR BLVD,SHOAL CREEK BLVD,,2601,,TURNED_ON,,2710,LAMAR / 27TH,"(30.292496, -97.747347)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.747347,30.292496,,http://162.89.4.145/CCTVImages/CCTV37.jpg
39,Sarix,,LOC16-006955,2019127,2019126,FOUR SEASONS - WEST,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / SAN JACINTO BLVD (FOUR SEASONS - WEST),CESAR CHAVEZ ST,SAN JACINTO BLVD,,200,,TURNED_ON,,100,FOUR SEASONS - WEST,"(30.261807, -97.74283)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.74283,30.261807,,http://162.89.4.145/CCTVImages/CCTV39.jpg
40,Sarix,,LOC16-006950,2019127,2019126,FOUR SEASONS - EAST,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / SAN JACINTO BLVD (FOUR SEASONS - EAST),CESAR CHAVEZ ST,SAN JACINTO BLVD,,200,,TURNED_ON,,100,FOUR SEASONS - EAST,"(30.261684, -97.742403)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.742403,30.261684,,http://162.89.4.145/CCTVImages/CCTV40.jpg
26,Axis,10/02/2017,LOC16-007010,2011891,2011955,HOME DEPOT - DEPOT - WEST,NORTHEAST,4,,ROADWAY,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - WEST),IH 35 SVRD,ST JOHNS AVE,,7200,,TURNED_ON,,800,HOME DEPOT - DEPOT - WEST,"(30.333519, -97.7025)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7025,30.333519,,http://162.89.4.145/CCTVImages/CCTV26.jpg
27,Axis,10/02/2017,LOC16-007005,2011891,2011955,HOME DEPOT - DEPOT - INTERIOR,NORTHEAST,4,,ROADWAY,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - INTERIOR),IH 35 SVRD,ST JOHNS AVE,,7200,,TURNED_ON,,800,HOME DEPOT - DEPOT - INTERIOR,"(30.333229, -97.701905)",OFFLINE,06/23/2017 01:58:00 AM +0000,-97.701905,30.333229,,http://162.89.4.145/CCTVImages/CCTV27.jpg
28,Axis,10/02/2017,LOC16-007000,2011891,2011955,HOME DEPOT - DEPOT - EAST,NORTHEAST,4,,ROADWAY,IH 35 SVRD / ST JOHNS AVE (HOME DEPOT - DEPOT - EAST),IH 35 SVRD,ST JOHNS AVE,,7200,,TURNED_ON,,800,HOME DEPOT - DEPOT - EAST,"(30.333052, -97.701398)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.701398,30.333052,,http://162.89.4.145/CCTVImages/CCTV28.jpg
29,Sarix,,LOC16-007030,3293006,2046381,,SOUTHEAST,,,ROADWAY,SH 71  / ROSS RD,SH 71,ROSS RD,,4436,5168587,TURNED_ON,,4501,,"(30.186287, -97.609533)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.609533,30.186287,,http://162.89.4.145/CCTVImages/CCTV29.jpg
50,Axis,,LOC16-006910,2019103,2019102,BRAZOS GARAGE,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / BRAZOS ST (BRAZOS GARAGE),CESAR CHAVEZ ST,BRAZOS ST,,100,5256923,TURNED_ON,,100,BRAZOS GARAGE,"(30.263094, -97.743067)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.743067,30.263094,,http://162.89.4.145/CCTVImages/CCTV50.jpg
51,Axis,,LOC16-006905,2019009,2019010,AUSTONIAN - SOUTHWEST,CENTRAL,9,,ROADWAY,CONGRESS AVE / 2ND ST (AUSTONIAN - SOUTHWEST),CONGRESS AVE,2ND ST,,200,,TURNED_ON,,101,AUSTONIAN - SOUTHWEST,"(30.264593, -97.744895)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.744895,30.264593,,http://162.89.4.145/CCTVImages/CCTV51.jpg
52,Axis,,LOC16-006900,2019009,2019010,AUSTONIAN - NORTHWEST,CENTRAL,9,,ROADWAY,CONGRESS AVE / 2ND ST (AUSTONIAN - NORTHWEST),CONGRESS AVE,2ND ST,,200,,TURNED_ON,,101,AUSTONIAN - NORTHWEST,"(30.264923, -97.744886)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.744886,30.264923,,http://162.89.4.145/CCTVImages/CCTV52.jpg
56,Sarix,,LOC16-001080,2018049,2018067,,CENTRAL,9,,ROADWAY,GUADALUPE ST / 15TH ST,GUADALUPE ST,15TH ST,,1500,5156901,TURNED_ON,,300,,"(30.2779, -97.743)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.743,30.2779,,http://162.89.4.145/CCTVImages/CCTV56.jpg
57,Sarix,,LOC16-000005,2046169,2046174,,CENTRAL,9,,ROADWAY,GUADALUPE ST / LAMAR BLVD,GUADALUPE ST,LAMAR BLVD,11/05/2016 03:14:00 PM +0000,4700,5158418,TURNED_ON,,4701,,"(30.3166466, -97.7322464)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7322464,30.3166466,,http://162.89.4.145/CCTVImages/CCTV57.jpg
61,Sarix,,LOC16-000110,2017776,2017777,,CENTRAL,9,,ROADWAY,GUADALUPE ST / MARTIN LUTHER KING JR BLVD,GUADALUPE ST,MARTIN LUTHER KING JR BLVD,,1900,5157068,TURNED_ON,,401,,"(30.2817326, -97.7419281)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7419281,30.2817326,,http://162.89.4.145/CCTVImages/CCTV61.jpg
63,Sarix,,LOC16-000115,2017875,2017810,,CENTRAL,9,,ROADWAY,LAVACA ST / MARTIN LUTHER KING JR BLVD,LAVACA ST,MARTIN LUTHER KING JR BLVD,,1800,5157273,TURNED_ON,,301,,"(30.2813282, -97.740509)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.740509,30.2813282,,http://162.89.4.145/CCTVImages/CCTV63.jpg
64,Sarix,10/09/2017,LOC16-000120,2017874,2017917,,CENTRAL,"9,1",,ROADWAY,MARTIN LUTHER KING JR BLVD / CONGRESS AVE,MARTIN LUTHER KING JR BLVD,CONGRESS AVE,,100,5157629,TURNED_ON,,1800,,"(30.2806873, -97.7381058)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7381058,30.2806873,,http://162.89.4.145/CCTVImages/CCTV64.jpg
65,Sarix,,LOC16-000130,2017912,2017911,,CENTRAL,"9,1",,ROADWAY,MARTIN LUTHER KING JR BLVD / TRINITY ST,MARTIN LUTHER KING JR BLVD,TRINITY ST,,312,5158219,TURNED_ON,,1900,,"(30.2796383, -97.7345123)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7345123,30.2796383,,http://162.89.4.145/CCTVImages/CCTV65.jpg
66,Sarix,,LOC16-000135,2017959,2017958,,CENTRAL,1,,ROADWAY,MARTIN LUTHER KING JR BLVD / RED RIVER ST,MARTIN LUTHER KING JR BLVD,RED RIVER ST,,400,5158551,TURNED_ON,,1900,,"(30.2789745, -97.732193)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.732193,30.2789745,,http://162.89.4.145/CCTVImages/CCTV66.jpg
67,Sarix,,LOC16-000170,2017991,2017990,,CENTRAL,1,,ROADWAY,MARTIN LUTHER KING JR BLVD / 35 SVRD,MARTIN LUTHER KING JR BLVD,IH 35 SVRD,,600,5158756,TURNED_ON,,1900,,"(30.2785587, -97.730484)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.730484,30.2785587,,http://162.89.4.145/CCTVImages/CCTV67.jpg
62,Sarix,06/26/2017,LOC17-010385,,,NW Corner,CENTRAL,9,,ROADWAY,BLK (NW Corner),,,06/26/2017 11:46:00 PM +0000,,5157068,TURNED_ON,,,,"(30.281803, -97.742011)",OFFLINE,06/23/2017 01:58:00 AM +0000,-97.742011,30.281803,,http://162.89.4.145/CCTVImages/CCTV62.jpg
47,Sarix,,LOC16-006920,2024732,2041783,,SOUTHWEST,3,,ROADWAY,CONGRESS AVE / WASSON RD,CONGRESS AVE,WASSON RD,,4703,5153279,TURNED_ON,,5001,,"(30.210902, -97.771369)",OFFLINE,05/11/2017 05:00:00 AM +0000,-97.771369,30.210902,,http://162.89.4.145/CCTVImages/CCTV47.jpg
55,Sarix,,LOC16-005240,2023570,2023571,,SOUTHEAST,2,,ROADWAY,FM 973 RD / PEARCE LN,FM 973 RD,PEARCE LN,,4700,5166703,TURNED_ON,,10800,,"(30.18069517, -97.64674967)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.64674967,30.18069517,,http://162.89.4.145/CCTVImages/CCTV55.jpg
58,Sarix,,LOC16-000020,2040437,2012199,,NORTHEAST,"4,7",,ROADWAY,KOENIG LN / LAMAR BLVD,KOENIG LN,LAMAR BLVD,,600,5159119,TURNED_ON,,5630,,"(30.325943, -97.7263336)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7263336,30.325943,,http://162.89.4.145/CCTVImages/CCTV58.jpg
59,Sarix,,LOC16-000040,3257640,2011669,,NORTHEAST,"4,7",,ROADWAY,AIRPORT BLVD / LAMAR BLVD,AIRPORT BLVD,LAMAR BLVD,,7001,5159899,TURNED_ON,,7001,,"(30.3376293, -97.7188721)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7188721,30.3376293,,http://162.89.4.145/CCTVImages/CCTV59.jpg
60,Sarix,,LOC16-000080,2012133,2040420,,NORTHEAST,4,,ROADWAY,AIRPORT BLVD / DENSON DR,AIRPORT BLVD,DENSON DR,,6200,5160231,TURNED_ON,,101,,"(30.3270321, -97.7160797)",OFFLINE,06/23/2017 01:58:00 AM +0000,-97.7160797,30.3270321,,http://162.89.4.145/CCTVImages/CCTV60.jpg
48,Sarix,,LOC16-007015,2027718,2027719,,SOUTHEAST,2,,ROADWAY,FM 973 RD / BURLESON RD,FM 973 RD,BURLESON RD,,6210,5166040,TURNED_ON,,10300,,"(30.167316, -97.659321)",ONLINE,11/05/2017 09:30:00 AM +0000,-97.659321,30.167316,,http://162.89.4.145/CCTVImages/CCTV48.jpg
69,Sarix,,LOC16-000195,2017388,2017389,,CENTRAL,9,,ROADWAY,GUADALUPE ST / 24TH ST,GUADALUPE ST,24TH ST,,2400,5157100,TURNED_ON,,401,,"(30.2877197, -97.7415466)",ONLINE,10/11/2017 05:13:00 PM +0000,-97.7415466,30.2877197,,http://162.89.4.145/CCTVImages/CCTV69.jpg
70,Sarix,,LOC16-000200,2017249,2017247,,CENTRAL,9,,ROADWAY,DEAN KEETON ST / GUADALUPE ST,DEAN KEETON ST,GUADALUPE ST,,300,5157120,TURNED_ON,,2520,,"(30.289814, -97.7413559)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7413559,30.289814,,http://162.89.4.145/CCTVImages/CCTV70.jpg
71,Sarix,,LOC16-000235,2016462,2016461,,CENTRAL,9,,ROADWAY,38TH ST / GUADALUPE ST,38TH ST,GUADALUPE ST,,600,5157521,TURNED_ON,,3800,,"(30.302742, -97.7381439)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7381439,30.302742,,http://162.89.4.145/CCTVImages/CCTV71.jpg
72,Sarix,,LOC16-000245,2015882,2015915,,CENTRAL,9,,ROADWAY,GUADALUPE ST / 45TH ST,GUADALUPE ST,45TH ST,,4482,5158333,TURNED_ON,,501,,"(30.3108425, -97.7329788)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7329788,30.3108425,,http://162.89.4.145/CCTVImages/CCTV72.jpg
75,Sarix,,LOC16-000315,2016921,2016920,,CENTRAL,9,,ROADWAY,38TH HALF ST / 35 SVRD,38TH HALF ST,IH 35 SVRD,,1014,5159923,TURNED_ON,,3820,,"(30.294981, -97.7197723)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7197723,30.294981,,http://162.89.4.145/CCTVImages/CCTV75.jpg
76,Sarix,,LOC16-000315,2016921,2016920,,CENTRAL,9,,ROADWAY,38TH HALF ST / 35 SVRD,38TH HALF ST,IH 35 SVRD,,1014,5159923,TURNED_ON,,3820,,"(30.294981, -97.7197723)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7197723,30.294981,,http://162.89.4.145/CCTVImages/CCTV76.jpg
77,Sarix,,LOC16-000335,2016824,2016857,,CENTRAL,9,,ROADWAY,RED RIVER ST / 38TH HALF ST,RED RIVER ST,38TH HALF ST,,3808,5159542,TURNED_ON,,800,,"(30.2965431, -97.7231445)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7231445,30.2965431,,http://162.89.4.145/CCTVImages/CCTV77.jpg
78,Sarix,,LOC16-000345,2017415,2046317,,CENTRAL,"9,1",,ROADWAY,DEAN KEETON ST / RED RIVER ST,DEAN KEETON ST,RED RIVER ST,,928,5159198,TURNED_ON,,2200,,"(30.2871666, -97.7267456)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7267456,30.2871666,,http://162.89.4.145/CCTVImages/CCTV78.jpg
79,Sarix,08/03/2017,LOC16-000350,2017866,2036519,,CENTRAL,"9,1",,ROADWAY,RED RIVER ST / CLYDE LITTLEFIELD DR,RED RIVER ST,CLYDE LITTLEFIELD DR,,2000,5159062,TURNED_ON,,700,,"(30.2832279, -97.7279663)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7279663,30.2832279,,http://162.89.4.145/CCTVImages/CCTV79.jpg
92,Sarix,,LOC16-000535,2019776,2019777,,CENTRAL,9,,ROADWAY,LAMAR BLVD / 24TH ST,LAMAR BLVD,24TH ST,,2300,5155404,TURNED_ON,,1301,,"(30.2885342, -97.7527695)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7527695,30.2885342,,http://162.89.4.145/CCTVImages/CCTV92.jpg
93,Sarix,,LOC16-000545,2037908,2019774,,CENTRAL,9,,ROADWAY,LAMAR BLVD / MARTIN LUTHER KING JR BLVD,LAMAR BLVD,MARTIN LUTHER KING JR BLVD,,1900,5155501,TURNED_ON,,1109,,"(30.2836018, -97.7520752)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7520752,30.2836018,,http://162.89.4.145/CCTVImages/CCTV93.jpg
94,Sarix,,LOC16-000575,2018139,2018140,,CENTRAL,9,,ROADWAY,LAMAR BLVD / 12TH ST,LAMAR BLVD,12TH ST,,1200,5155626,TURNED_ON,,1001,,"(30.2768974, -97.7513962)",OFFLINE,10/02/2017 05:21:00 PM +0000,-97.7513962,30.2768974,,http://162.89.4.145/CCTVImages/CCTV94.jpg
95,Sarix,,LOC16-000585,2019754,2019753,,CENTRAL,9,,ROADWAY,6TH ST / LAMAR BLVD,6TH ST,LAMAR BLVD,,900,5155322,TURNED_ON,,500,,"(30.2715378, -97.7539673)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7539673,30.2715378,,http://162.89.4.145/CCTVImages/CCTV95.jpg
96,Advidia,09/27/2017,LOC16-000590,2044015,2019753,,CENTRAL,9,,ROADWAY,5TH ST / LAMAR BLVD,5TH ST,LAMAR BLVD,,926,5155253,TURNED_ON,,500,,"(30.2702904, -97.7546005)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7546005,30.2702904,,http://162.89.4.145/CCTVImages/CCTV96.jpg
107,Sarix,,LOC16-000750,2019056,2019057,,CENTRAL,9,,ROADWAY,SAN JACINTO BLVD / 2ND ST,SAN JACINTO BLVD,2ND ST,,200,5157156,TURNED_ON,,200,,"(30.2636414, -97.7417908)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7417908,30.2636414,,http://162.89.4.145/CCTVImages/CCTV107.jpg
108,Sarix,09/27/2017,LOC16-000760,2018945,2018946,,CENTRAL,9,,ROADWAY,GUADALUPE ST / 2ND ST,GUADALUPE ST,2ND ST,,200,5156234,TURNED_ON,,401,,"(30.2652874, -97.747673)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.747673,30.2652874,,http://162.89.4.145/CCTVImages/CCTV108.jpg
109,Sarix,,LOC16-000770,2019009,2019010,,CENTRAL,9,,ROADWAY,CONGRESS AVE / 2ND ST,CONGRESS AVE,2ND ST,,200,5156770,TURNED_ON,,101,,"(30.2643204, -97.744194)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.744194,30.2643204,,http://162.89.4.145/CCTVImages/CCTV109.jpg
120,Sarix,,LOC16-001090,2018126,2018125,,CENTRAL,1,,ROADWAY,15TH ST / CONGRESS AVE,15TH ST,CONGRESS AVE,,100,5157428,TURNED_ON,,1500,,"(30.2769184, -97.7394943)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7394943,30.2769184,,http://162.89.4.145/CCTVImages/CCTV120.jpg
121,Sarix,,LOC16-001100,2018181,2018253,,CENTRAL,1,,ROADWAY,15TH ST / TRINITY ST,15TH ST,TRINITY ST,,300,5157976,TURNED_ON,,1400,,"(30.2759418, -97.7360306)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7360306,30.2759418,,http://162.89.4.145/CCTVImages/CCTV121.jpg
106,Sarix,,LOC16-000735,2019031,2019030,,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / LAVACA ST,CESAR CHAVEZ ST,LAVACA ST,,300,5156353,TURNED_ON,,100,,"(30.2640705, -97.7469406)",OFFLINE,11/07/2017 09:30:00 AM +0000,-97.7469406,30.2640705,,http://162.89.4.145/CCTVImages/CCTV106.jpg
123,Sarix,,LOC16-001115,2018267,2018262,,CENTRAL,1,,ROADWAY,15TH ST / 35 SVRD,15TH ST,IH 35 SVRD,,800,5158612,TURNED_ON,,1500,,"(30.2747765, -97.7317581)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7317581,30.2747765,,http://162.89.4.145/CCTVImages/CCTV123.jpg
126,Sarix,09/20/2016,LOC16-001170,3426176,3426104,,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / WALTER SEAHOLM DR,CESAR CHAVEZ ST,WALTER SEAHOLM DR,,816,5155385,TURNED_ON,,100,,"(30.266, -97.75353)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.75353,30.266,,http://162.89.4.145/CCTVImages/CCTV126.jpg
127,Sarix,,LOC16-001235,2018452,2018391,,CENTRAL,1,,ROADWAY,CONGRESS AVE / 11TH ST,CONGRESS AVE,11TH ST,,1000,5157222,TURNED_ON,,101,,"(30.2727489, -97.7411041)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7411041,30.2727489,,http://162.89.4.145/CCTVImages/CCTV127.jpg
129,Sarix,,LOC16-001305,2018562,2018563,,CENTRAL,"9,1",,ROADWAY,RED RIVER ST / 10TH ST,RED RIVER ST,10TH ST,,1000,5158042,TURNED_ON,,500,,"(30.2702274, -97.7357712)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7357712,30.2702274,,http://162.89.4.145/CCTVImages/CCTV129.jpg
130,Sarix,,LOC16-001405,2018821,2018822,,CENTRAL,9,,ROADWAY,LAVACA ST / 4TH ST,LAVACA ST,4TH ST,,400,5156508,TURNED_ON,,301,,"(30.2668762, -97.7458725)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.7458725,30.2668762,,http://162.89.4.145/CCTVImages/CCTV130.jpg
131,Sarix,,LOC16-001440,2018715,2018714,,CENTRAL,9,,ROADWAY,7TH ST / SAN JACINTO BLVD,7TH ST,SAN JACINTO BLVD,,200,5157390,TURNED_ON,,700,,"(30.2682953, -97.740036)",ONLINE,10/02/2017 08:48:00 PM +0000,-97.740036,30.2682953,,http://162.89.4.145/CCTVImages/CCTV131.jpg
